IMEI,Serial,Modelo,Descripción,Compañía,"Última Conexión",Firmware,Estado
354017112278698,1109036671,FMB130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 10:39:19",03.25.18.Rev.08,Online
354017114436674,1110147142,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-12-28 17:20:00",03.25.15.Rev.32,Offline
354017114436757,1110147132,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-12-08 12:06:23",03.25.15.Rev.32,Offline
354017114436807,1110147138,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-06-22 11:44:13",03.25.15.Rev.32,Offline
354017114436831,1110147133,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-02-19 19:52:01",03.25.15.Rev.32,Offline
354017114449842,1110146308,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-01-31 22:05:04",03.25.15.Rev.32,Offline
354017114449925,1110146305,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-07-05 08:20:46",03.25.15.Rev.32,Offline
354017114450386,1110146333,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-02 16:01:56",03.25.15.Rev.32,Offline
354017114450469,1110146337,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-01-09 17:11:58",03.25.15.Rev.32,Offline
354017114450527,1110146335,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-11-20 10:39:22",03.25.15.Rev.32,Offline
354017114450543,1110146328,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-01-27 07:21:36",03.25.15.Rev.32,Offline
354017114450550,1110146329,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-01 10:29:14",03.25.15.Rev.32,Offline
354017114450576,1110146339,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-03-30 05:28:27",03.25.15.Rev.32,Offline
354017114450600,1110146334,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-06-04 14:32:54",03.25.15.Rev.32,Offline
354017115068450,1110135073,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-06-21 17:15:01",03.25.15.Rev.32,Offline
354017115068468,1110135069,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-18 11:21:44",03.25.15.Rev.32,Offline
354017115255735,1110145792,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-02-06 07:18:22",03.25.15.Rev.32,Offline
354017115269355,1110145788,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-09-12 13:00:37",03.25.15.Rev.32,Offline
354017115270080,1110145789,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-02-18 05:56:43",03.25.15.Rev.32,Offline
354017117166419,1110146678,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-12-24 17:31:15",03.25.15.Rev.32,Offline
354017117166583,1110146691,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-08-17 12:23:26",03.25.15.Rev.32,Offline
354017117166765,1110146901,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-01-31 02:36:01",03.25.15.Rev.32,Offline
354017117166930,1110146903,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-08-24 23:53:25",03.25.15.Rev.32,Offline
354017117171500,1110146679,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-09-28 18:21:18",03.25.15.Rev.32,Offline
354017117189809,1110146861,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-01-28 12:08:31",03.25.15.Rev.32,Offline
359632102571749,1109611898,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-03-02 18:05:39",03.25.15.Rev.32,Offline
359632102571764,1109611903,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-02-02 21:02:18",03.25.15.Rev.32,Offline
359632103433121,1109613963,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-01-08 12:08:55",03.25.15.Rev.32,Offline
359632104096216,1109612120,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-06-16 16:22:28",03.25.15.Rev.32,Offline
359632104517054,1109598225,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-07-01 03:51:40",03.25.15.Rev.32,Offline
359632104531329,1109609360,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-09-13 16:50:01",03.25.15.Rev.32,Offline
